Time,Date,Timestamp,AirTemp,RH,PAR,Windspeed,Winddirection,Precip,light,altitude,azimuth,numerictime,Noonage,growingseason
0:00:00,1/1/2021,1/1/2021 0:00,-2.672,86.3,0.269,0.435,14.32,0,0,-1.270971768,3.082013731,0,morning,N
0:30:00,1/1/2021,1/1/2021 0:30,-2.8,85.5,0.269,0.104,43.29,0,0,-1.256842718,-2.80275796,0.020833333,morning,N
1:00:00,1/1/2021,1/1/2021 1:00,-3.034,89.9,0.267,0.395,259.4,0,0,-1.207971161,-2.468954918,0.041666667,morning,N
1:30:00,1/1/2021,1/1/2021 1:30,-3.181,86.9,0.269,0.298,271.6,0,0,-1.136101319,-2.218523818,0.0625,morning,N
2:00:00,1/1/2021,1/1/2021 2:00,-3.182,87.8,0.271,0.426,263.1,0,0,-1.050956006,-2.032179114,0.083333333,morning,N
2:30:00,1/1/2021,1/1/2021 2:30,-3.486,88.2,0.271,0.212,248,0,0,-0.958387658,-1.88799363,0.104166667,morning,N
3:00:00,1/1/2021,1/1/2021 3:00,-3.755,89.7,0.258,0.071,243.8,0,0,-0.861696733,-1.770658418,0.125,morning,N
3:30:00,1/1/2021,1/1/2021 3:30,-3.855,88.8,0.209,0.64,226.7,0,0,-0.762816628,-1.670476593,0.145833333,morning,N
4:00:00,1/1/2021,1/1/2021 4:00,-3.671,86.7,0.212,0.271,279.1,0,0,-0.662973613,-1.581283721,0.166666667,morning,N
4:30:00,1/1/2021,1/1/2021 4:30,-4.988,91,0.213,0.234,248.4,0,0,-0.563026315,-1.499008231,0.1875,morning,N
5:00:00,1/1/2021,1/1/2021 5:00,-6.369,93.2,0.249,0.25,45.24,0,0,-0.463644444,-1.420815895,0.208333333,morning,N
5:30:00,1/1/2021,1/1/2021 5:30,-7.249,88.6,0.269,0.217,237,0,0,-0.365409065,-1.344612223,0.229166667,morning,N
6:00:00,1/1/2021,1/1/2021 6:00,-8.11,89.7,0.269,0.569,249.8,0,0,-0.268874092,-1.268748383,0.25,morning,N
6:30:00,1/1/2021,1/1/2021 6:30,-8.42,89.7,0.269,0.469,233.8,0,0,-0.174608353,-1.191843353,0.270833333,morning,N
7:00:00,1/1/2021,1/1/2021 7:00,-8.55,88.4,0.269,0.707,234.8,0,0,-0.083227871,-1.112675553,0.291666667,morning,N
7:30:00,1/1/2021,1/1/2021 7:30,-8.84,92.3,0.269,0.441,254.5,0,1,0.004577023,-1.030120141,0.3125,morning,N
8:00:00,1/1/2021,1/1/2021 8:00,-6.403,81.2,0.286,0.682,273.3,0,1,0.08801811,-0.943121515,0.333333333,morning,N
8:30:00,1/1/2021,1/1/2021 8:30,-6.666,85.2,3.507,0.099,249.7,0,1,0.166189978,-0.850698969,0.354166667,morning,N
9:00:00,1/1/2021,1/1/2021 9:00,-6.137,87.8,30.56,0.129,213.8,0,1,0.238058348,-0.751988464,0.375,morning,N
9:30:00,1/1/2021,1/1/2021 9:30,-4.482,78.42,75.75,0.173,276.7,0,1,0.302462116,-0.646325034,0.395833333,morning,N
10:00:00,1/1/2021,1/1/2021 10:00,-2.699,76.39,108.8,0.513,258.7,0,1,0.358137867,-0.533366108,0.416666667,morning,N
10:30:00,1/1/2021,1/1/2021 10:30,-1.445,69.97,182.9,0.335,186.3,0,1,0.403776572,-0.413242795,0.4375,morning,N
11:00:00,1/1/2021,1/1/2021 11:00,-0.237,72.71,246.1,0.121,89.1,0,1,0.438118667,-0.286703618,0.458333333,morning,N
11:30:00,1/1/2021,1/1/2021 11:30,0.807,64.62,348.8,0.165,322.7,0,1,0.460083176,-0.155190741,0.479166667,morning,N
12:00:00,1/1/2021,1/1/2021 12:00,3.496,49.93,572.2,0.221,248.8,0,1,0.468909631,-0.020782263,0.5,morning,N
12:30:00,1/1/2021,1/1/2021 12:30,5.353,41.07,652.2,0.387,166.5,0,1,0.464275786,0.114032123,0.520833333,afternoon,N
